finding_id	source_record	record_scope	kind	severity	affected_unit	disposition	reason	evidence	current_record	current_record_sha256	resolution_status	resolution_reason	resolution_evidence
SEM:1758aba761e0ac98d450	data/ingredients/mapped/1-Kestose.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-Kestose.yaml	open	Active ChEBI identity and exported products pass, but an open kgscan discussion is mostly irrelevant and unattached.	reports/yaml_record_review/1-Kestose.md	data/ingredients/mapped/1-Kestose.yaml	c3cd932ad6e3dd6b446c499cb8c69bca008dd05bf21dc30acc80368fe1b318e8	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:0e201d7995b5dcc3eb98	data/ingredients/mapped/1-Pentanol.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-Pentanol.yaml	open	Active CAS-derived ChEBI identity and exported products pass, but the open kgscan discussion is irrelevant and unattached.	reports/yaml_record_review/1-Pentanol.md	data/ingredients/mapped/1-Pentanol.yaml	d47463e81ebb231c75529caffced6330cdfb1bea8ebc2b517aaaecd12a4e6d19	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:cb472d716d5549ebb82f	data/ingredients/mapped/1-aminocyclopropane-1-carboxylate.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-aminocyclopropane-1-carboxylate.yaml	open	CAS-grounded ChEBI identity and exported products pass, but the open kgscan discussion is irrelevant and unattached.	reports/yaml_record_review/1-aminocyclopropane-1-carboxylate.md	data/ingredients/mapped/1-aminocyclopropane-1-carboxylate.yaml	1e651391a3c74fff1a3bde0312bfd657542ab61b4c83407f4c1450115037234c	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:f0b96f127101596a4c9d	data/ingredients/mapped/1-butanolCO2.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-butanolCO2.yaml	open	Decomposition to local fallback with butan-1-ol and carbon dioxide components passes, but current notes still contain stale pre-resolution text.	reports/yaml_record_review/1-butanolCO2.md	data/ingredients/mapped/1-butanolCO2.yaml	50e87c5ea60a056062c81c01bf5e8ea28a1dc8c8f8e3f20acb27a18ef7f5213d	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:80c5e72925b893803f10	data/ingredients/mapped/1-chlorobutane.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-chlorobutane.yaml	open	Active high-number ChEBI identity and exported products pass; stale validation rows and optional CAS/synonym enrichment remain.	reports/yaml_record_review/1-chlorobutane.md	data/ingredients/mapped/1-chlorobutane.yaml	29a80bb0d90697f0c3e5336170cdf978ab47781d224c8f83a69835413a15d2ac	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:7f61a1d795aae318a849	data/ingredients/mapped/1-chloropropane.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-chloropropane.yaml	open	Active high-number ChEBI identity, n-propyl chloride synonym, and exported products pass; stale validation rows and optional CAS enrichment remain.	reports/yaml_record_review/1-chloropropane.md	data/ingredients/mapped/1-chloropropane.yaml	b0aab9c318f086881a1fd386823724c1a0e88b6b1573b695d3e311c0f17be71f	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:5f9232ac8ecbbc597b02	data/ingredients/mapped/1-ethyl-3-methylimidazolium_Acetate.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-ethyl-3-methylimidazolium_Acetate.yaml	open	CAS-primary salt identity and narrow cation mapping pass, but the open kgscan discussion is irrelevant and unattached.	reports/yaml_record_review/1-ethyl-3-methylimidazolium_Acetate.md	data/ingredients/mapped/1-ethyl-3-methylimidazolium_Acetate.yaml	38814f2038706907038c87a8bff6785abaf177e4746c63ddfae6fcb8836acda5	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:d5376d87e92ae8364a2e	data/ingredients/mapped/1-ethyl-3-methylimidazolium_Lysine.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-ethyl-3-methylimidazolium_Lysine.yaml	open	Active local salt identity and narrow CHEBI:63895 parent pass, but the top-level notes still describe the pre-repair unmapped state.	reports/yaml_record_review/1-ethyl-3-methylimidazolium_Lysine.md	data/ingredients/mapped/1-ethyl-3-methylimidazolium_Lysine.yaml	ceb4b7626883ddf513cb4ff1c5259dd6361ca7c540fd10e44bea29b7817f83c8	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:9f82dddc361f96ec319d	data/ingredients/mapped/1-methylphenanthrene.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-methylphenanthrene.yaml	open	Active CHEBI identity and synchronized products pass; optional CAS, stale validation rows, and a timestamp-ordering nit remain.	reports/yaml_record_review/1-methylphenanthrene.md	data/ingredients/mapped/1-methylphenanthrene.yaml	8cc4a3001604adfe0a69ddf0c97834feb9c579731ac23c8aa5a3d2d27bfddd04	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:d36295aa4f0183aac97b	data/ingredients/mapped/1-naphtylacetic_Acid.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-naphtylacetic_Acid.yaml	open	Active CHEBI identity, typo preservation, and chemistry pass, but the open kgscan discussion is irrelevant and unattached.	reports/yaml_record_review/1-naphtylacetic_Acid.md	data/ingredients/mapped/1-naphtylacetic_Acid.yaml	d363ddaae1c24c09e13c37da08078439c8e54a83076624364ff224dee04a649c	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:ddc32bfb0605ec3eaeba	data/ingredients/mapped/1-o-methyl_Alpha-galactopyranoside.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-o-methyl_Alpha-galactopyranoside.yaml	open	Active CHEBI identity and chemistry pass, but top-level notes still describe the pre-promotion unmapped state.	reports/yaml_record_review/1-o-methyl_Alpha-galactopyranoside.md	data/ingredients/mapped/1-o-methyl_Alpha-galactopyranoside.yaml	87b7570e196ec20d4f71621c4036e9d1eb555c4ed931f791a11f102f965bca0f	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:a2737f674626659ffe76	data/ingredients/mapped/1-octen-3-ol.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-octen-3-ol.yaml	open	Active CAS-grounded CHEBI identity passes, but the open kgscan discussion is irrelevant and unattached.	reports/yaml_record_review/1-octen-3-ol.md	data/ingredients/mapped/1-octen-3-ol.yaml	0b48ef0d1a3762aaff60b09ab6b7719bef6279fe0fd60e87688189daad4395ff	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:2f388d710dc8c777ba26	data/ingredients/mapped/1-phenazinecarboxamide.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-phenazinecarboxamide.yaml	open	Active CAS-grounded CHEBI identity and synchronized products pass; only optional PCN synonym enrichment remains.	reports/yaml_record_review/1-phenazinecarboxamide.md	data/ingredients/mapped/1-phenazinecarboxamide.yaml	c76c47f904ae1eeb42385b3543fdbd4eb0bb44dbb3b6a0ec2800645fea481503	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:83f88cb7bb8da748c1c9	data/ingredients/mapped/1-propanolCO2.yaml	active	existing_record_review	minor	data/ingredients/mapped/1-propanolCO2.yaml	open	Local fallback identity and propan-1-ol/carbon dioxide decomposition pass, but notes still describe the older unresolved split state.	reports/yaml_record_review/1-propanolCO2.md	data/ingredients/mapped/1-propanolCO2.yaml	7d53441edc57a1c03be337a90e4dfe587a0577b2d89e3cba2c071ee29878110e	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:31e603bf4d164b230e7e	data/ingredients/mapped/11-Biphenyl-2-ol.yaml	active	existing_record_review	minor	data/ingredients/mapped/11-Biphenyl-2-ol.yaml	open	Active CHEBI identity and CultureMech provenance pass, but ChEBI-backed ingredient_type and chemistry are still missing.	reports/yaml_record_review/11-Biphenyl-2-ol.md	data/ingredients/mapped/11-Biphenyl-2-ol.yaml	dc60491a8903099e05468b1f6eb280cbad17fdb150d1eccde0eb298c5c32e0d3	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:06e9ba775c260e7ea4d5	data/ingredients/mapped/112-trichloroethane.yaml	active	existing_record_review	minor	data/ingredients/mapped/112-trichloroethane.yaml	open	Active CHEBI identity and structure pass, but the open kgscan discussion is irrelevant and unattached.	reports/yaml_record_review/112-trichloroethane.md	data/ingredients/mapped/112-trichloroethane.yaml	e0ca9c75cc61a05b278e044d4e243ebc1854e3d686895a23510798f9049d00db	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:041e44760b57510920e6	data/ingredients/mapped/1122-Tetrachloroethane.yaml	active	existing_record_review	blocker	data/ingredients/mapped/1122-Tetrachloroethane.yaml	open	2-tetrachloroethane is ambiguous between CHEBI:34024 and CHEBI:36026, but the record publishes an unsupported exact CHEBI:36026 identity.	reports/yaml_record_review/1122-Tetrachloroethane.md	data/ingredients/mapped/1122-Tetrachloroethane.yaml	99b1b45739d34c71ab1bf0656fb1ee4d3e67728f350642e70b7b23730e97580e	RESOLVED	Original source identity recovered and independently matched to the published target; see identity evidence.	reports/semantic_review_20260921/resolution/identities/identity-plan.json
SEM:fec1225ebc72e978be22	data/ingredients/mapped/12-Propanediol.yaml	active	existing_record_review	minor	data/ingredients/mapped/12-Propanediol.yaml	open	Active CAS-grounded CHEBI identity passes, but the open kgscan discussion is irrelevant and unattached.	reports/yaml_record_review/12-Propanediol.md	data/ingredients/mapped/12-Propanediol.yaml	14d023d7d18ed23abf31b8fa97c288b30cd4957f35e1d5e63290d27d01e0e3d7	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:7f2726e9458dafb6fa62	data/ingredients/mapped/12-dichloropropane.yaml	active	existing_record_review	minor	data/ingredients/mapped/12-dichloropropane.yaml	open	Active CAS-specific racemate identity passes; only stale advisory rows still mention the old generic CHEBI:142468 target.	reports/yaml_record_review/12-dichloropropane.md	data/ingredients/mapped/12-dichloropropane.yaml	daa1826b7708c2094d5b454b451ac75463fedc9f716e26f8a3b90af5fbcc66b9	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:db35ea2a655bc0762141	data/ingredients/mapped/13-Butandiol.yaml	active	existing_record_review	minor	data/ingredients/mapped/13-Butandiol.yaml	open	Active CHEBI identity and synchronized products pass; only stale advisory rows still mention the older German preferred label state.	reports/yaml_record_review/13-Butandiol.md	data/ingredients/mapped/13-Butandiol.yaml	67d1757c57f47c9161ff6763b14858ab926b818a8796f8469165ce4e06475f65	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:7fa34fc3278f9ae91d35	data/ingredients/mapped/14-B-D-Galactobiose.yaml	active	existing_record_review	major	data/ingredients/mapped/14-B-D-Galactobiose.yaml	open	Active CHEBI identity passes, but CARBON_SOURCE is asserted from only a provisional name-pattern prediction.	reports/yaml_record_review/14-B-D-Galactobiose.md	data/ingredients/mapped/14-B-D-Galactobiose.yaml	346c00c2a113dc722024aef411d261d3a1a09182303a49695e749f53fb575c22	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:ef19d078c37bb51867e8	data/ingredients/mapped/14-Butanediol.yaml	active	existing_record_review	major	data/ingredients/mapped/14-Butanediol.yaml	open	Active CHEBI identity passes, but parse fragments Butane-1 and 4-diol still leak into active exact labels.	reports/yaml_record_review/14-Butanediol.md	data/ingredients/mapped/14-Butanediol.yaml	74b5887ec491eeb6c5f0105dbf97fd961658618af248d954b372ca8e50ad1696	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:9ab9d4b1c0875fd0b9f9	data/ingredients/mapped/14-naphthoquinone.yaml	active	existing_record_review	minor	data/ingredients/mapped/14-naphthoquinone.yaml	open	Active CHEBI identity passes, but the synonym list still contains the non-label raw text Role: Growth factor.	reports/yaml_record_review/14-naphthoquinone.md	data/ingredients/mapped/14-naphthoquinone.yaml	74519ba0c232e6754ae9308228823ae8a6ff51525c9d1d15cb70b415eb40206b	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:77b9eaf4e8ec6c5858b3	data/ingredients/mapped/15-Pentanediol.yaml	active	existing_record_review	minor	data/ingredients/mapped/15-Pentanediol.yaml	open	Active CAS-grounded CHEBI identity and synchronized products pass; only stale advisory rows remain.	reports/yaml_record_review/15-Pentanediol.md	data/ingredients/mapped/15-Pentanediol.yaml	fc54d1228fc469376af11849f4f24d517b1405881c0390dded5bb980cdca2af2	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:e00cb82c389368eb198b	data/ingredients/mapped/16-Hexanediamine.yaml	active	existing_record_review	major	data/ingredients/mapped/16-Hexanediamine.yaml	open	The stripped CAS fallback is exact, but PubChem and ChEBI now expose CHEBI:39618 for this compound.	reports/yaml_record_review/16-Hexanediamine.md	data/ingredients/mapped/16-Hexanediamine.yaml	526ca6991c57ea6bbfa7ca1b84eea0ca5bb51950e542240714ff1df782453034	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:32af282a9c51bb6c5e89	data/ingredients/mapped/18-Crown-6.yaml	active	existing_record_review	minor	data/ingredients/mapped/18-Crown-6.yaml	open	Active CHEBI identity, synonym, chemistry, SSSOM, aggregate, and docs pass; only stale advisory rows remain.	reports/yaml_record_review/18-Crown-6.md	data/ingredients/mapped/18-Crown-6.yaml	c0d9f2830b5226ce4cd6b6ae37800de334d8ca7b9688538e5661814aeed8f5ca	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:ecd592a1a37993dc715d	data/ingredients/mapped/2-6-dihydroxybenzoic_Acid.yaml	active	existing_record_review	major	data/ingredients/mapped/2-6-dihydroxybenzoic_Acid.yaml	open	Preferred label and stripped CAS RN are fixed, but the record needs CHEBI:68465 promotion and still exports the invalid 2-6-dihydroxybenzoic acid fallback label.	reports/yaml_record_review/2-6-dihydroxybenzoic_Acid.md	data/ingredients/mapped/2-6-dihydroxybenzoic_Acid.yaml	bf6ad13872c6cc7344c6375052bfbdea93411ae008633acf26cac93be6694bf8	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:559c44c65802f2805248	data/ingredients/mapped/2-Acetylpyrrole.yaml	active	existing_record_review	minor	data/ingredients/mapped/2-Acetylpyrrole.yaml	open	Active CHEBI identity, chemistry, SSSOM, aggregate, and docs pass; only stale advisory rows remain.	reports/yaml_record_review/2-Acetylpyrrole.md	data/ingredients/mapped/2-Acetylpyrrole.yaml	68c999e6bca5da4ae9d2296e44cfe958547534debfd03e8bebf9bc21b1c86438	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:8eec100ec2755afae95e	data/ingredients/mapped/2-Aminoethylphosphonate.yaml	active	existing_record_review	minor	data/ingredients/mapped/2-Aminoethylphosphonate.yaml	open	Residual CultureMech grounding to CHEBI:15573 passes, but ingredient_type and ChEBI-derived chemistry are missing.	reports/yaml_record_review/2-Aminoethylphosphonate.md	data/ingredients/mapped/2-Aminoethylphosphonate.yaml	25dc9a50e431b1178f31a0641a1caa4ceebc8603a0368886cac2d68c5f5f70a6	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:076272471bc4f71e8cd3	data/ingredients/mapped/2-Azetidinone.yaml	active	existing_record_review	minor	data/ingredients/mapped/2-Azetidinone.yaml	open	Active CAS-grounded CHEBI identity and synchronized products pass; only stale advisory rows remain.	reports/yaml_record_review/2-Azetidinone.md	data/ingredients/mapped/2-Azetidinone.yaml	f7e28c779eaf03d6687ab9df8bd6b3bb35406d8a6ad79553b2796f7700af32d8	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:bbe330c45514553e6e8a	data/ingredients/mapped/2-Chlorobenzoic_acid.yaml	active	existing_record_review	minor	data/ingredients/mapped/2-Chlorobenzoic_acid.yaml	open	Residual CultureMech grounding to CHEBI:30793 passes, but ingredient_type and ChEBI-derived chemistry are missing.	reports/yaml_record_review/2-Chlorobenzoic_acid.md	data/ingredients/mapped/2-Chlorobenzoic_acid.yaml	d02d654d0908c1d849a51a828beb7db09e25ca1e15f8feb906e400ce189cc0ad	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:6595cd6c606e1ecec127	data/ingredients/mapped/2-Deoxy-D-Ribose.yaml	active	existing_record_review	major	data/ingredients/mapped/2-Deoxy-D-Ribose.yaml	open	Active CHEBI identity passes, but CARBON_SOURCE is provisional and a folded one-recipe Deoxyribose alias is not reflected in occurrence_statistics.	reports/yaml_record_review/2-Deoxy-D-Ribose.md	data/ingredients/mapped/2-Deoxy-D-Ribose.yaml	b6128f7ddd369ed67041c0958845fecee40c48cc5c5612a956a84141888509a3	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:c6fc90cbdac7b341d009	data/ingredients/mapped/2-Deoxy-D-glucose.yaml	active	existing_record_review	major	data/ingredients/mapped/2-Deoxy-D-glucose.yaml	open	Active CHEBI identity passes, but CARBON_SOURCE is asserted from only provisional ChEBI-ancestry evidence.	reports/yaml_record_review/2-Deoxy-D-glucose.md	data/ingredients/mapped/2-Deoxy-D-glucose.yaml	ff57b56e0dc51c2bb5c03d6830082e628f1358c09d5bd2c775b9c9c0ce92625a	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:48d9bb746192b3656089	data/ingredients/mapped/2-Deoxy-D-ribonic_Acid_Lithium_Salt.yaml	active	existing_record_review	major	data/ingredients/mapped/2-Deoxy-D-ribonic_Acid_Lithium_Salt.yaml	open	The narrow parent mapping and lithium formula are fixed, but parent-acid InChI, SMILES, and synonym fields remain on the lithium-salt record.	reports/yaml_record_review/2-Deoxy-D-ribonic_Acid_Lithium_Salt.md	data/ingredients/mapped/2-Deoxy-D-ribonic_Acid_Lithium_Salt.yaml	57e0bbff066972a22942aef00314bb0b1376d48b7ca1805a6d7d0388a70fe781	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:13d9e6f32d7efb998c3a	data/ingredients/mapped/2-Deoxyadenosine_Monohydrate.yaml	active	existing_record_review	minor	data/ingredients/mapped/2-Deoxyadenosine_Monohydrate.yaml	open	Exact CAS-backed monohydrate identity and closeMatch parent row pass; only stale advisory rows remain.	reports/yaml_record_review/2-Deoxyadenosine_Monohydrate.md	data/ingredients/mapped/2-Deoxyadenosine_Monohydrate.yaml	234edb342d3ca2141a1d979722b23e9f4541903cd40df75d1871a864cb515edb	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:bc94f7edf121c7a57e9b	data/ingredients/mapped/2-Hydroxybutyric_Acid_Sodium_Salt.yaml	active	existing_record_review	major	data/ingredients/mapped/2-Hydroxybutyric_Acid_Sodium_Salt.yaml	open	Exact sodium-salt identity and narrow parent mapping pass, but a parent-acid synonym and provisional CARBON_SOURCE role remain.	reports/yaml_record_review/2-Hydroxybutyric_Acid_Sodium_Salt.md	data/ingredients/mapped/2-Hydroxybutyric_Acid_Sodium_Salt.yaml	8a2c69adcb8c2dff48034d0fdb7c5b271f64da8c03fa4bee355cd70ad9957173	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:a4408b7cc104b8523db8	data/ingredients/mapped/2-Hydroxypyridine.yaml	active	existing_record_review	minor	data/ingredients/mapped/2-Hydroxypyridine.yaml	open	Active CAS-grounded CHEBI identity and synchronized products pass; only stale advisory rows remain.	reports/yaml_record_review/2-Hydroxypyridine.md	data/ingredients/mapped/2-Hydroxypyridine.yaml	157ff59a1e0d6d6aeb7d691c3e7adbc094a4ccb91ba89b2f7ab0731127102ddf	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:3d200b71e49d5b93d308	data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Hydrate.yaml	active	existing_record_review	major	data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Hydrate.yaml	open	Exact hydrate CAS and closeMatch parent pass, but chemistry is missing, the monohydrate label leaks onto the generic hydrate, and provisional roles remain.	reports/yaml_record_review/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Hydrate.md	data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Hydrate.yaml	5d30ccd4eb4f4148e5f06b6753c37739ebf7d5f678a679b9c5220b5c62bb40e1	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:942e5e5ab8031b0237df	data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Monohydrate.yaml	active	existing_record_review	blocker	data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Monohydrate.yaml	open	The record says monohydrate, but the active CAS/formula/structure/PubChem values resolve to an anhydrous calcium 2-ketogluconate.	reports/yaml_record_review/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Monohydrate.md	data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Monohydrate.yaml	35ffa2d129a9e674a6a9fe7a08665e15e18a7c4c570a5ce30105802e3a7df048	RESOLVED	Refine the prior blocker: MP Biomedicals explicitly uses CAS 3470-37-9 for the monohydrate, while the same CAS is used for unhydrated calcium salt. Use a distinct local hydrate identity and preserve the supplier CAS as procurement metadata rather than exact global identity. Withdraw anhydrous CID/SMILES/InChI. Formula follows the certificate hemicalcium unit plus one water, doubled to whole calcium stoichiometry. Existing close match to free acid retained as reviewed in #342, not promoted to subsumption.	reports/semantic_review_20260921/corrections/identity-plan.json
SEM:10662c4a4133aabe2eec	data/ingredients/mapped/2-Mercaptopyridine_N-oxide_Sodium_Salt.yaml	active	existing_record_review	minor	data/ingredients/mapped/2-Mercaptopyridine_N-oxide_Sodium_Salt.yaml	open	Active CHEBI salt identity, synonym, chemistry, SSSOM, aggregate, and docs pass; only stale advisory rows remain.	reports/yaml_record_review/2-Mercaptopyridine_N-oxide_Sodium_Salt.md	data/ingredients/mapped/2-Mercaptopyridine_N-oxide_Sodium_Salt.yaml	ec531e594af526c8f53cebf76835381bdd3fb45e805c35ae74c25413c181915a	OPEN	Historical finding remains unresolved; no blanket approval.	
SEM:95c215d379a05ae77aa3	data/ingredients/mapped/2-Nitrophenol.yaml	active	existing_record_review	minor	data/ingredients/mapped/2-Nitrophenol.yaml	open	Residual CultureMech grounding to CHEBI:16260 passes, but ingredient_type and ChEBI-derived chemistry are missing.	reports/yaml_record_review/2-Nitrophenol.md	data/ingredients/mapped/2-Nitrophenol.yaml	a7129e0ed90f6ab1984acc26027154dec6ae075cb8d17788085c248e9bdbcc62	OPEN	Historical finding remains unresolved; no blanket approval.	
