source_record	identifier	synonym_position	token	before_type	after_type	source	reason
data/ingredients/mapped/Cephamycin_A.yaml	kgmicrobe.compound:cephamycin_a	0	produces: cephamycin A	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Chitin.yaml	CHEBI:17029	1	hydrolysis: crab shell chitin	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A hydrolysis assay/activity describes cleavage of the named substrate; the complete phrase is not a substrate name.
data/ingredients/mapped/Chitosan.yaml	CHEBI:16261	5	hydrolysis: cationic chitosan	EXACT_SYNONYM	REJECTED_LABEL	kg_microbe	A hydrolysis assay/activity describes cleavage of the named substrate; the complete phrase is not a substrate name.
data/ingredients/mapped/Citrate.yaml	CHEBI:16947	1	assimilation: citrate	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	An assimilation trait describes uptake/incorporation of the named material; the complete phrase is not a material name.
data/ingredients/mapped/Elastin.yaml	CHEBI:4767	0	degradation: elastin	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A degradation activity describes a process involving the named material; the complete phrase is not a material name.
data/ingredients/mapped/Esculin_Monohydrate.yaml	CHEBI:73111	0	hydrolysis: esculin	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A hydrolysis assay/activity describes cleavage of the named substrate; the complete phrase is not a substrate name.
data/ingredients/mapped/Ethanol.yaml	CHEBI:16236	20	produces: ethanol	EXACT_SYNONYM	REJECTED_LABEL	kg_microbe	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Fe_Iii-edta.yaml	CHEBI:30729	7	electron acceptor: ethylenediaminetetraacetatoferrate	EXACT_SYNONYM	REJECTED_LABEL	kg_microbe	An electron-acceptor annotation assigns a contextual role to a material; the complete phrase is not the material name.
data/ingredients/mapped/Ferrihydrite.yaml	CHEBI:192761	4	electron acceptor: amorphous fe(iii) oxyhydroxid	EXACT_SYNONYM	REJECTED_LABEL	kg_microbe	An electron-acceptor annotation assigns a contextual role to a material; the complete phrase is not the material name.
data/ingredients/mapped/Ferrihydrite.yaml	CHEBI:192761	5	electron acceptor: amorphous iron (iii) oxide	EXACT_SYNONYM	REJECTED_LABEL	kg_microbe	An electron-acceptor annotation assigns a contextual role to a material; the complete phrase is not the material name.
data/ingredients/mapped/Ferrihydrite.yaml	CHEBI:192761	11	reduction: amorphous fe(iii) oxyhydroxid	EXACT_SYNONYM	REJECTED_LABEL	kg_microbe	A reduction or detoxification activity relates a process to its substrate; the complete phrase is not a compound name.
data/ingredients/mapped/Ferrihydrite.yaml	CHEBI:192761	12	reduction: amorphous iron (iii) oxide	EXACT_SYNONYM	REJECTED_LABEL	kg_microbe	A reduction or detoxification activity relates a process to its substrate; the complete phrase is not a compound name.
data/ingredients/mapped/Ferrihydrite.yaml	CHEBI:192761	14	growth: goethite	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A growth annotation describes an organism/assay response to a material; the complete phrase is not a material name. Rejecting it does not establish equivalence between goethite and ferrihydrite.
data/ingredients/mapped/Ferroverdin.yaml	CHEBI:219729	1	produces: ferroverdin	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Glucose.yaml	CHEBI:17234	12	fermentation: glucose	EXACT_SYNONYM	REJECTED_LABEL	kg_microbe	A fermentation activity describes substrate metabolism; the complete phrase is not a substrate name.
data/ingredients/mapped/Glutathione_Oxidized.yaml	CHEBI:17858	1	reduction: glutathione oxidized	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A reduction or detoxification activity relates a process to its substrate; the complete phrase is not a compound name.
data/ingredients/mapped/Hydrocarbon.yaml	CHEBI:24632	1	degradation: hydrocarbon	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A degradation activity describes a process involving the named material; the complete phrase is not a material name.
data/ingredients/mapped/Hydrogen_Sulfide.yaml	CHEBI:16136	3	produces: hydrogen sulfide	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Hydrogen_gas.yaml	CHEBI:18276	12	aerobic catabolization: dihydrogen	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	An aerobic catabolism annotation describes conditional metabolism of a substrate; the complete phrase is not a substrate name.
data/ingredients/mapped/Indole.yaml	CHEBI:16881	1	produces: indole	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Kijanimicin.yaml	CHEBI:220048	1	produces: kijanimicin	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Lactate.yaml	CHEBI:24996	11	produces: DL-lactate	EXACT_SYNONYM	REJECTED_LABEL	kg_microbe	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Methane.yaml	CHEBI:16183	1	produces: methane from acetate	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Methane.yaml	CHEBI:16183	2	produces: methane from formate	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Miharamycin_A.yaml	CHEBI:216282	1	produces: miharamycin A	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Monazomycin.yaml	CHEBI:201539	1	produces: monazomycin	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Nocamycin.yaml	CHEBI:219652	1	produces: nocamycin	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Poly_L-lysine_Polymer.yaml	CHEBI:61490	2	produces: poly(L-lysine) polymer	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Pyrite.yaml	CHEBI:86471	1	oxidation: pyrite	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	An oxidation activity describes transformation of a substrate; the complete phrase is not a substrate name.
data/ingredients/mapped/Ristocetin_B.yaml	kgmicrobe.compound:ristocetin_b	0	produces: ristocetin B	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Rubradirin.yaml	CHEBI:223718	1	produces: rubradirin	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Siderophore.yaml	CHEBI:26672	0	produces: siderophore	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Stallimycin.yaml	CHEBI:41958	0	produces: stallimycin	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	A production trait relates an organism or process to a product; the complete phrase is not a compound name.
data/ingredients/mapped/Starch.yaml	CHEBI:28017	12	degradation: starch	EXACT_SYNONYM	REJECTED_LABEL	kg_microbe	A degradation activity describes a process involving the named material; the complete phrase is not a material name.
data/ingredients/mapped/Sulfur_Compounds.yaml	CHEBI:26835	0	oxidation in darkness: sulfur compounds	RAW_TEXT	REJECTED_LABEL	sssom_other_backfill	An oxidation activity qualified by light conditions describes a process; the complete phrase is not a material name.
data/ingredients/mapped/Urea.yaml	CHEBI:16199	12	hydrolysis: urea	EXACT_SYNONYM	REJECTED_LABEL	kg_microbe	A hydrolysis assay/activity describes cleavage of the named substrate; the complete phrase is not a substrate name.
