finding_id	source_record	record_scope	kind	severity	affected_unit	disposition	reason	evidence
SEM:c056faaa408d63d01415	data/ingredients/mapped/Chelated_Iron_Solution.yaml	active	existing_record_review	major	data/ingredients/mapped/Chelated_Iron_Solution.yaml	open	The local chelated iron stock identity and fallback SSSOM row pass, but the active STOCK_SOLUTION record still has no component list.	reports/yaml_record_review/Chelated_Iron_Solution.md
SEM:3f332ffe7cace7f90540	data/ingredients/mapped/Chu_Stock_Solution.yaml	active	existing_record_review	major	data/ingredients/mapped/Chu_Stock_Solution.yaml	open	The local stock-solution identity is appropriate, but the multi-component stock lacks components and a refreshed CultureMech membership trail for its 1/1 count.	reports/yaml_record_review/Chu_Stock_Solution.md
SEM:c1f5bd3490fbb36ebe27	data/ingredients/mapped/Das_Macro_Solution.yaml	active	existing_record_review	major	data/ingredients/mapped/Das_Macro_Solution.yaml	open	The local stock identity passes, but component partonomy is still absent and a stale unmapped complex-media row remains.	reports/yaml_record_review/Das_Macro_Solution.md
SEM:6d9f66c4f0e84c1584ac	data/ingredients/mapped/Das_Vitamin_Cocktail.yaml	active	existing_record_review	major	data/ingredients/mapped/Das_Vitamin_Cocktail.yaml	open	The local vitamin-stock identity passes, but component partonomy is still absent and a stale unmapped complex-media row remains.	reports/yaml_record_review/Das_Vitamin_Cocktail.md
SEM:49024c30cfdb7434eb3c	data/ingredients/mapped/Esculin_Ferric_Citrate.yaml	active	existing_record_review	minor	data/ingredients/mapped/Esculin_Ferric_Citrate.yaml	open	The local two-component reagent identity, component assertion, and final kgmicrobe registry row pass; stale notes should be refreshed.	reports/yaml_record_review/Esculin_Ferric_Citrate.md
SEM:6efeb5442a038b57ce5d	data/ingredients/mapped/Ferric_Malate_Solution.yaml	active	existing_record_review	major	data/ingredients/mapped/Ferric_Malate_Solution.yaml	open	The local stock-solution identity passes, but the known ferric malate solution lacks a component assertion.	reports/yaml_record_review/Ferric_Malate_Solution.md
SEM:02086c758b7601a50ce8	data/ingredients/mapped/Formate3-methyl_Mercaptopropionate.yaml	active	existing_record_review	minor	data/ingredients/mapped/Formate3-methyl_Mercaptopropionate.yaml	open	The local two-component fallback identity, component partonomy, and SSSOM row pass, but notes are stale.	reports/yaml_record_review/Formate3-methyl_Mercaptopropionate.md
SEM:1ba5996d560132907730	data/ingredients/mapped/Formatedimethylsulfide.yaml	active	existing_record_review	minor	data/ingredients/mapped/Formatedimethylsulfide.yaml	open	The local two-component fallback identity, component partonomy, and SSSOM row pass, but notes are stale.	reports/yaml_record_review/Formatedimethylsulfide.md
SEM:119e76c2b273d7848c26	data/ingredients/mapped/Formatemethanol.yaml	active	existing_record_review	minor	data/ingredients/mapped/Formatemethanol.yaml	open	The local two-component fallback identity, component partonomy, and SSSOM row pass, but notes are stale.	reports/yaml_record_review/Formatemethanol.md
SEM:27950122f33763143e54	data/ingredients/mapped/Formatetetramethylammonium.yaml	active	existing_record_review	minor	data/ingredients/mapped/Formatetetramethylammonium.yaml	open	The local two-component fallback identity, component partonomy, and SSSOM row pass, but notes are stale.	reports/yaml_record_review/Formatetetramethylammonium.md
SEM:6293de93b13e10321b6c	data/ingredients/mapped/Formatetrimethylamine.yaml	active	existing_record_review	minor	data/ingredients/mapped/Formatetrimethylamine.yaml	open	The local two-component fallback identity, component partonomy, and SSSOM row pass, but notes are stale.	reports/yaml_record_review/Formatetrimethylamine.md
SEM:371318bdaca080a7c800	data/ingredients/mapped/GYPS.yaml	active	existing_record_review	minor	data/ingredients/mapped/GYPS.yaml	open	The local decomposed GYPS identity, components, CultureMech link, and final SSSOM row pass, but top-level notes remain stale.	reports/yaml_record_review/GYPS.md
SEM:5bd89b0425515b41cf36	data/ingredients/mapped/Gallate_Formate.yaml	active	existing_record_review	minor	data/ingredients/mapped/Gallate_Formate.yaml	open	The local Gallate + Formate identity, components, and SSSOM row pass, but notes and mapping evidence prose are stale.	reports/yaml_record_review/Gallate_Formate.md
SEM:35158a3834fe593d4459	data/ingredients/mapped/H2tetramethylammonium.yaml	active	existing_record_review	minor	data/ingredients/mapped/H2tetramethylammonium.yaml	open	The local fallback identity, curated two-part decomposition, and tetramethylammonium component scope pass, but stale notes still mention the old import state and DEFINED_MEDIUM value.	reports/yaml_record_review/H2tetramethylammonium.md
SEM:a6e0edae74af20ae4ad3	data/ingredients/mapped/Macro_Component_1_For_J_Medium.yaml	active	existing_record_review	major	data/ingredients/mapped/Macro_Component_1_For_J_Medium.yaml	open	The local fallback identity and final SSSOM row pass, but this named J medium stock still lacks component-level curation.	reports/yaml_record_review/Macro_Component_1_For_J_Medium.md
SEM:3f27d1cca77996777aef	data/ingredients/mapped/Macro_Component_2_For_J_Medium.yaml	active	existing_record_review	major	data/ingredients/mapped/Macro_Component_2_For_J_Medium.yaml	open	The local fallback identity and final SSSOM row pass, but this named J medium stock still lacks component-level curation.	reports/yaml_record_review/Macro_Component_2_For_J_Medium.md
SEM:a3fbef4ba296e4f0e2ff	data/ingredients/mapped/Malt_Extract_Agar.yaml	active	existing_record_review	major	data/ingredients/mapped/Malt_Extract_Agar.yaml	open	The local exact registry row and close FoodOn parent pass, but this complete malt-extract-agar formulation lacks component-level curation.	reports/yaml_record_review/Malt_Extract_Agar.md
SEM:a0a6fa4f0bdbeedc4223	data/ingredients/mapped/Malt_Extract_Agar_Nissui.yaml	active	existing_record_review	major	data/ingredients/mapped/Malt_Extract_Agar_Nissui.yaml	open	The local exact Nissui row and close FoodOn parent pass, but this supplier-specific malt-extract-agar formulation lacks component-level curation.	reports/yaml_record_review/Malt_Extract_Agar_Nissui.md
SEM:27f6737f138aea83f791	data/ingredients/mapped/Malt_Extract_Agar_Oxoid.yaml	active	existing_record_review	major	data/ingredients/mapped/Malt_Extract_Agar_Oxoid.yaml	open	The local exact Oxoid row and close FoodOn parent pass, but this supplier-specific malt-extract-agar formulation lacks component-level curation.	reports/yaml_record_review/Malt_Extract_Agar_Oxoid.md
SEM:15fadc96ff75d695f0ac	data/ingredients/mapped/Malt_Extract_Broth.yaml	active	existing_record_review	major	data/ingredients/mapped/Malt_Extract_Broth.yaml	open	The local exact broth registry row and close FoodOn parent pass, but this complete malt-extract-broth formulation lacks component-level curation.	reports/yaml_record_review/Malt_Extract_Broth.md
SEM:9989c1ebe6def6f9525f	data/ingredients/mapped/Marine_Broth_2216.yaml	active	existing_record_review	major	data/ingredients/mapped/Marine_Broth_2216.yaml	open	The local registry identity, catalog variants, ATCC component transcription, occurrence count, and final SSSOM row pass, but ingredient_type is stale.	reports/yaml_record_review/Marine_Broth_2216.md
SEM:8b43d68b413473235a66	data/ingredients/mapped/Marine_agar_2216.yaml	active	existing_record_review	major	data/ingredients/mapped/Marine_agar_2216.yaml	open	The local registry identity, catalog variant, ATCC component transcription, occurrence count, and final SSSOM row pass, but ingredient_type is stale.	reports/yaml_record_review/Marine_agar_2216.md
SEM:4faab9476288ad644b65	data/ingredients/mapped/Mc_trace_minerals.yaml	active	existing_record_review	major	data/ingredients/mapped/Mc_trace_minerals.yaml	open	The local trace-mineral identity, Mixes-tab transcription, role, occurrence count, and final SSSOM row pass, but crosswalk evidence cites chloride rows for three sulfate components.	reports/yaml_record_review/Mc_trace_minerals.md
SEM:ce8ba5f64c673f9ba206	data/ingredients/mapped/Metall_Salt_Sol_44.yaml	active	existing_record_review	major	data/ingredients/mapped/Metall_Salt_Sol_44.yaml	open	The local stock-solution identity, fallback registry row, and occurrence count pass, but the active STOCK_SOLUTION record has no component formulation.	reports/yaml_record_review/Metall_Salt_Sol_44.md
SEM:f5afd8f4c646166f7f5f	data/ingredients/mapped/Mono-_And_Disaccharides.yaml	active	existing_record_review	major	data/ingredients/mapped/Mono-_And_Disaccharides.yaml	open	The local registry row and #369 removal of false component partonomy pass, but the record still classifies the carbohydrate category as a NAMED_MEDIUM.	reports/yaml_record_review/Mono-_And_Disaccharides.md
SEM:74aaa6e967e4895eab9b	data/ingredients/mapped/PYGS.yaml	active	existing_record_review	major	data/ingredients/mapped/PYGS.yaml	open	The local PYGS identity passes, but the starch component overstates an ambiguous S suffix.	reports/yaml_record_review/PYGS.md
SEM:cb61881e35d84b7ffb83	data/ingredients/mapped/Planctomyces_mineral_salts.yaml	active	existing_record_review	major	data/ingredients/mapped/Planctomyces_mineral_salts.yaml	open	The local Planctomyces mineral stock identity passes, but component-level recipe curation is still missing.	reports/yaml_record_review/Planctomyces_mineral_salts.md
SEM:b7d780936c16e215d8c5	data/ingredients/mapped/Planctomyces_trace_element_solution.yaml	active	existing_record_review	major	data/ingredients/mapped/Planctomyces_trace_element_solution.yaml	open	The local Planctomyces trace-element stock identity passes, but component-level recipe curation is still missing.	reports/yaml_record_review/Planctomyces_trace_element_solution.md
SEM:15089d658b4aa711bf14	data/ingredients/mapped/Planctomyces_vitamin_mix.yaml	active	existing_record_review	major	data/ingredients/mapped/Planctomyces_vitamin_mix.yaml	open	The local Planctomyces vitamin stock identity passes, but component-level recipe curation is still missing.	reports/yaml_record_review/Planctomyces_vitamin_mix.md
SEM:9834503edf9295a1404f	data/ingredients/mapped/Sulfur_Free_Mineral_Mix.yaml	active	existing_record_review	major	data/ingredients/mapped/Sulfur_Free_Mineral_Mix.yaml	open	The local stock identity and SSSOM row pass, but the mapped stock lacks its pending component-level recipe.	reports/yaml_record_review/Sulfur_Free_Mineral_Mix.md
SEM:d23435dac8f40ffdd486	data/ingredients/mapped/TYG_Salts_Solution.yaml	active	existing_record_review	major	data/ingredients/mapped/TYG_Salts_Solution.yaml	open	The local stock fallback is synchronized, but the stock solution has no component-level representation.	reports/yaml_record_review/TYG_Salts_Solution.md
SEM:24e556bafdb2f2237d18	data/ingredients/mapped/Takara_DO_Supp_MinusHisLeuTrp.yaml	active	existing_record_review	major	data/ingredients/mapped/Takara_DO_Supp_MinusHisLeuTrp.yaml	open	The local stock fallback is synchronized, but the commercial dropout supplement lacks its component-level recipe.	reports/yaml_record_review/Takara_DO_Supp_MinusHisLeuTrp.md
SEM:9e9066a5b501b490c4ab	data/ingredients/mapped/Thiamine_Vitamin_Solution.yaml	active	existing_record_review	major	data/ingredients/mapped/Thiamine_Vitamin_Solution.yaml	open	The local stock identity and final SSSOM rows pass, but the stock lacks components and VITAMIN_SOURCE is still provisional name-pattern evidence.	reports/yaml_record_review/Thiamine_Vitamin_Solution.md
SEM:ed0d03464f48d8e2cfad	data/ingredients/mapped/Timentin.yaml	active	existing_record_review	major	data/ingredients/mapped/Timentin.yaml	open	The CAS registry row is synchronized, but Timentin is a ticarcillin plus clavulanic-acid mixture modeled as SINGLE_INGREDIENT with no components.	reports/yaml_record_review/Timentin.md
SEM:e9655eed6080855b4387	data/ingredients/mapped/Trace_Element_Solution_See_Medium_No_187.yaml	active	existing_record_review	major	data/ingredients/mapped/Trace_Element_Solution_See_Medium_No_187.yaml	open	The local stock identity passes, but components are absent and a malformed see-Medium alias leaks into final SSSOM other.	reports/yaml_record_review/Trace_Element_Solution_See_Medium_No_187.md
SEM:3a7e9fd02b72243a564c	data/ingredients/mapped/Tris_Acetate_Stock_Solution.yaml	active	existing_record_review	major	data/ingredients/mapped/Tris_Acetate_Stock_Solution.yaml	open	A stock-solution label is exact-mapped to the dry CHEBI tris acetate salt with no stock-solution components, and BUFFER is provisional.	reports/yaml_record_review/Tris_Acetate_Stock_Solution.md
SEM:870e68d3c55393c022b7	data/ingredients/mapped/Yeast_Meat_Extract_H2.yaml	active	existing_record_review	major	data/ingredients/mapped/Yeast_Meat_Extract_H2.yaml	open	The local fallback identity and final row pass, but the decomposition has a stale unresolved Yeast component.	reports/yaml_record_review/Yeast_Meat_Extract_H2.md
